,year,team_name,ball_possession
188,2019,Celta de Vigo,51.3
189,2019,RCD Mallorca,44.6
190,2019,FC Barcelona,67.8
191,2019,Atlético de Madrid,49.6
192,2019,Granada CF,42.9
193,2019,Getafe CF,44.8
194,2019,CA Osasuna,46.4
195,2019,Levante UD,47.9
196,2019,SD Eibar,43.9
197,2019,Deportivo Alavés,40.7
198,2019,CD Leganés,44.6
199,2019,RCD Espanyol Barcelona,44.5
200,2020,Atlético de Madrid,52.6
201,2020,FC Barcelona,66.0
202,2020,Real Sociedad,54.9
203,2020,Villarreal CF,55.5
204,2020,Granada CF,41.0
205,2020,CA Osasuna,42.6
206,2020,Valencia CF,46.9
207,2020,Getafe CF,42.5
208,2020,Elche CF,46.9
209,2020,Real Valladolid CF,45.4
210,2020,Real Madrid,59.4
211,2020,Sevilla FC,61.1
212,2020,Real Betis Balompié,53.7
213,2020,Celta de Vigo,53.4
214,2020,Athletic Bilbao,49.7
215,2020,Cádiz CF,34.2
216,2020,Levante UD,53.0
217,2020,Deportivo Alavés,42.8
218,2020,SD Huesca,48.1
219,2020,SD Eibar,49.6
220,2021,Real Madrid,59.9
221,2021,Atlético de Madrid,50.9
222,2021,Real Betis Balompié,54.1
223,2021,Villarreal CF,57.0
224,2021,Valencia CF,43.2
225,2021,Celta de Vigo,55.5
226,2021,Elche CF,48.4
227,2021,Getafe CF,41.2
228,2021,Cádiz CF,40.2
229,2021,Levante UD,46.9
230,2021,FC Barcelona,64.6
231,2021,Sevilla FC,60.3
232,2021,Real Sociedad,54.8
233,2021,Athletic Bilbao,48.0
234,2021,CA Osasuna,46.2
235,2021,Rayo Vallecano,49.8
236,2021,RCD Espanyol Barcelona,47.0
237,2021,RCD Mallorca,44.9
238,2021,Granada CF,44.5
239,2021,Deportivo Alavés,42.1
240,2015,Bayern Munich,9.9
241,2015,Bayer 04 Leverkusen,9.9
242,2015,FC Schalke 04,9.9
243,2015,Hertha BSC,9.9
244,2015,1.FC Köln,9.9
245,2015,FC Ingolstadt 04,9.9
246,2015,SV Werder Bremen,9.9
247,2015,TSG 1899 Hoffenheim,9.9
248,2015,VfB Stuttgart,9.9
249,2015,Borussia Dortmund,9.9
250,2015,Borussia Mönchengladbach,9.9
251,2015,1.FSV Mainz 05,9.9
252,2015,VfL Wolfsburg,9.9
253,2015,Hamburger SV,9.9
254,2015,FC Augsburg,9.9
255,2015,SV Darmstadt 98,9.9
256,2015,Eintracht Frankfurt,9.9
257,2015,Hannover 96,9.9
258,2016,Bayern Munich,9.9
259,2016,Borussia Dortmund,9.9
260,2016,1.FC Köln,9.9
261,2016,SC Freiburg,9.6
262,2016,Borussia Mönchengladbach,9.9
263,2016,Eintracht Frankfurt,9.9
264,2016,FC Augsburg,9.9
265,2016,1.FSV Mainz 05,9.9
266,2016,FC Ingolstadt 04,9.9
267,2016,RB Leipzig,9.9
268,2016,TSG 1899 Hoffenheim,9.9
269,2016,Hertha BSC,9.9
270,2016,SV Werder Bremen,9.6
271,2016,FC Schalke 04,9.9
272,2016,Bayer 04 Leverkusen,9.9
273,2016,Hamburger SV,9.9
274,2016,VfL Wolfsburg,9.9
275,2016,SV Darmstadt 98,9.9
276,2017,Bayern Munich,9.9
277,2017,TSG 1899 Hoffenheim,9.9
278,2017,Bayer 04 Leverkusen,9.9
279,2017,VfB Stuttgart,9.9
280,2017,Borussia Mönchengladbach,9.9
281,2017,SV Werder Bremen,9.9
282,2017,Hannover 96,9.9
283,2017,SC Freiburg,9.9
284,2017,Hamburger SV,9.9
285,2017,FC Schalke 04,9.9
286,2017,Borussia Dortmund,9.9
287,2017,RB Leipzig,9.9
288,2017,Eintracht Frankfurt,9.9
289,2017,Hertha BSC,9.9
290,2017,FC Augsburg,9.9
291,2017,1.FSV Mainz 05,9.9
292,2017,VfL Wolfsburg,9.9
293,2017,1.FC Köln,9.9
294,2019,Bayern Munich,65.4
295,2019,RB Leipzig,57.3
296,2019,Bayer 04 Leverkusen,61.5
297,2019,VfL Wolfsburg,47.3
298,2019,Eintracht Frankfurt,52.1
