,year,team_name,total_shot,total_shot_at_target,goals,goals_shot_ratio
594,2017,FC Metz,319,162,34,10.7
595,2017,Montpellier HSC,364,152,36,9.9
596,2017,Paris Saint-Germain,469,257,108,23.0
597,2017,Olympique Marseille,434,229,80,18.4
598,2017,FC Girondins Bordeaux,347,158,53,15.3
599,2017,Stade Rennais FC,340,152,50,14.7
600,2017,RC Strasbourg Alsace,316,133,44,13.9
601,2017,EA Guingamp,351,170,48,13.7
602,2017,LOSC Lille,328,146,41,12.5
603,2017,ESTAC Troyes,274,127,32,11.7
604,2017,FC Nantes,359,142,36,10.0
605,2017,SM Caen,342,136,27,7.9
606,2018,Paris Saint-Germain,436,220,105,24.1
607,2018,LOSC Lille,379,201,68,17.9
608,2018,Olympique Marseille,387,180,60,15.5
609,2018,Nîmes Olympique,379,178,57,15.0
610,2018,Montpellier HSC,386,174,53,13.7
611,2018,FC Nantes,376,156,48,12.8
612,2018,SM Caen,239,104,29,12.1
613,2018,AS Monaco,340,166,38,11.2
614,2018,FC Girondins Bordeaux,321,140,34,10.6
615,2018,EA Guingamp,300,122,28,9.3
616,2018,RC Strasbourg Alsace,303,159,58,19.1
617,2018,AS Saint-Étienne,354,183,59,16.7
618,2018,Stade Rennais FC,356,163,55,15.4
619,2018,Olympique Lyon,488,257,70,14.3
620,2018,Angers SCO,335,163,44,13.1
621,2018,Stade Reims,313,141,39,12.5
622,2018,FC Toulouse,308,133,35,11.4
623,2018,Amiens SC,287,124,31,10.8
624,2018,OGC Nice,312,134,30,9.6
625,2018,Dijon FCO,340,152,31,9.1
626,2019,Paris Saint-Germain,289,206,75,26.0
627,2019,OGC Nice,231,175,41,17.7
628,2019,Amiens SC,190,136,31,16.3
629,2019,FC Nantes,195,139,28,14.4
630,2019,Olympique Marseille,293,199,41,14.0
631,2019,Stade Rennais FC,280,191,38,13.6
632,2019,Montpellier HSC,258,178,35,13.6
633,2019,FC Metz,222,156,27,12.2
634,2019,RC Strasbourg Alsace,277,189,32,11.6
635,2019,Angers SCO,274,190,28,10.2
636,2019,Olympique Lyon,203,144,42,20.7
637,2019,FC Girondins Bordeaux,230,154,40,17.4
638,2019,AS Monaco,288,208,44,15.3
639,2019,Stade Brestois 29,240,162,34,14.2
640,2019,LOSC Lille,250,174,35,14.0
641,2019,AS Saint-Étienne,213,150,29,13.6
642,2019,Dijon FCO,215,149,27,12.6
643,2019,Stade Reims,220,150,26,11.8
644,2019,Nîmes Olympique,264,179,29,11.0
645,2019,FC Toulouse,236,165,22,9.3
646,2020,AS Monaco,656,472,76,11.6
647,2020,Olympique Marseille,541,380,54,10.0
648,2020,LOSC Lille,672,486,64,9.5
649,2020,OGC Nice,576,411,50,8.7
650,2020,Stade Reims,484,341,42,8.7
651,2020,FC Nantes,570,403,47,8.2
652,2020,RC Strasbourg Alsace,617,433,49,7.9
653,2020,Nîmes Olympique,537,382,40,7.4
654,2020,FC Metz,611,434,44,7.2
655,2020,AS Saint-Étienne,610,432,42,6.9
656,2020,Paris Saint-Germain,817,570,86,10.5
657,2020,Olympique Lyon,845,612,81,9.6
658,2020,Montpellier HSC,639,457,60,9.4
659,2020,RC Lens,631,434,55,8.7
660,2020,FC Lorient,582,406,50,8.6
661,2020,Stade Brestois 29,626,442,50,8.0
662,2020,Angers SCO,533,384,40,7.5
663,2020,Stade Rennais FC,724,511,52,7.2
664,2020,FC Girondins Bordeaux,600,421,42,7.0
665,2020,Dijon FCO,505,341,25,5.0
666,2021,Paris Saint-Germain,785,563,90,11.5
667,2021,AS Monaco,615,444,65,10.6
668,2021,Olympique Marseille,698,498,63,9.0
669,2021,Olympique Lyon,736,543,66,9.0
670,2021,RC Strasbourg Alsace,697,479,60,8.6
671,2021,Montpellier HSC,591,435,49,8.3
672,2021,Angers SCO,561,393,44,7.8
673,2021,LOSC Lille,669,466,48,7.2
674,2021,AS Saint-Étienne,623,439,42,6.7
675,2021,Clermont Foot 63,634,439,38,6.0
676,2021,Stade Rennais FC,761,550,82,10.8
677,2021,FC Nantes,606,426,55,9.1
678,2021,RC Lens,691,496,62,9.0
679,2021,Stade Brestois 29,563,401,49,8.7
680,2021,FC Girondins Bordeaux,622,451,52,8.4
681,2021,OGC Nice,645,451,52,8.1
682,2021,Stade Reims,559,395,43,7.7
683,2021,FC Metz,523,368,35,6.7
684,2021,ESTAC Troyes,563,387,37,6.6
685,2021,FC Lorient,622,444,35,5.6
