palyer_id,game_id,team_id,goals
157509,2618623,631,1
157509,2577960,631,1
177476,2578076,1010,1
3160,2578106,631,1
27511,2618623,631,1
27511,2578006,631,1
27511,2578262,631,1
36827,2578070,631,1
36827,2578148,631,1
57500,2577894,631,1
57500,2578084,631,1
30739,2645808,631,1
74683,2577950,631,1
74683,2578288,631,1
8806,2618548,631,1
8806,2578106,631,1
8806,2578148,631,1
8806,2578190,631,2
8806,2578264,631,1
85314,2618548,631,1
85314,2618623,631,1
85314,2577858,631,1
85314,2578070,631,1
85314,2578223,631,1
202886,2578195,631,1
91970,2645818,506,1
91970,2604080,506,1
91970,2604127,506,1
91970,2604208,506,1
91970,2604300,506,1
54170,2577967,22219,1
54170,2578003,22219,1
59866,2577965,379,1
50202,2578234,631,2
50202,2578262,631,1
50202,2578181,631,1
52769,2618548,631,1
52769,2618561,631,1
52769,2618607,631,1
52769,2618623,631,1
52769,2618639,631,1
52769,2577967,631,1
52769,2577975,631,1
52769,2578223,631,1
52769,2578135,631,1
52769,2578234,631,1
281404,2578160,631,1
65278,2577894,631,1
65278,2578070,631,1
65278,2578135,631,2
65278,2578195,631,2
65278,2578234,631,1
131996,2578135,631,1
131996,2578171,631,1
44779,2618548,631,1
44779,2645816,631,1
44779,2577894,631,1
44779,2577991,631,1
44779,2578025,631,1
44779,2578080,631,2
44779,2578223,631,1
44779,2578106,631,1
44779,2578111,631,1
44779,2578130,631,1
44779,2578135,631,1
44779,2578160,631,1
44779,2578288,631,1
39152,2577948,631,1
45121,2578065,631,1
37579,2578195,631,1
54781,2578014,281,1
9594,2577866,281,1
9594,2577887,281,1
2963,2618570,281,1
46156,2577896,281,1
46156,2578041,281,1
46156,2578213,281,1
26267,2618600,281,1
26267,2675296,281,1
26267,2577887,281,1
26267,2577940,281,1
51174,2578213,281,1
51174,2578231,281,1
50362,2578041,281,1
50362,2578117,281,1
88755,2618593,281,1
88755,2675296,281,1
88755,2675300,281,1
88755,2577965,281,1
88755,2577969,281,1
88755,2577987,281,1
88755,2578041,281,1
88755,2578075,281,1
88755,2578213,281,1
88755,2578287,281,1
13091,2645813,281,1
13091,2577866,281,1
13091,2578014,281,1
13091,2578064,281,1
13091,2578075,281,1
13091,2578239,281,1
13091,2578167,281,1
18935,2577896,281,1
18935,2578210,281,1
35518,2618632,281,1
35518,2645813,281,1
35518,2577866,281,1
35518,2578117,281,1
134425,2618600,281,1
134425,2618632,281,2
134425,2577940,281,1
134425,2577982,281,3
134425,2578075,281,1
134425,2578167,281,1
26399,2618570,281,1
26399,2645813,281,1
26399,2577887,281,1
26399,2577987,281,5
26399,2578037,281,1
26399,2578239,281,1
26399,2578117,281,2
26399,2578115,281,2
26399,2578119,281,1
26399,2578141,281,1
26399,2578167,281,2
26399,2578213,281,1
26399,2578210,281,1
26399,2578271,281,3
26399,2578150,281,1
26399,2578231,281,1
26399,2578287,281,1
81808,2618593,281,1
81808,2618600,281,1
81808,2618632,281,1
81808,2577982,281,2
81808,2578059,281,1
81808,2578075,281,1
295330,2577952,281,1
295330,2578059,281,1
295330,2578147,281,1
295330,2578231,281,2
295330,2578285,281,2
295330,2578282,281,1
76277,2578002,11,1
76277,2578013,11,1
76277,2578266,11,1
76277,2578216,11,1
149498,2578225,11,1
44792,2578018,11,1
191217,2578197,11,1
126321,2577978,379,1
126321,2577992,379,1
160438,2645817,11,1
50057,2577990,11,1
50057,2578051,11,1
50057,2578062,11,1
50057,2578104,11,1
50057,2578174,11,1
143424,2578124,11,1
35664,2618580,11,1
35664,2618620,11,1
35664,2577974,11,1
35664,2578039,11,1
35664,2578225,11,1
35664,2578124,11,1
35664,2578164,11,1
35664,2578216,11,1
242631,2578185,11,1
242631,2578197,11,1
33713,2618545,11,1
33713,2618559,11,1
82442,2618580,11,1
82442,2618604,11,1
82442,2618637,11,3
82442,2577889,11,1
33713,2577945,11,1
33713,2577971,11,1
82442,2577945,11,1
82442,2577971,11,1
82442,2577990,11,1
82442,2578002,11,1
82442,2578013,11,1
82442,2578040,11,1
82442,2578051,11,1
82442,2578062,11,1
82442,2578064,11,1
33713,2578064,11,1
82442,2578104,11,2
33713,2578144,11,1
33713,2578197,11,1
131248,2578013,11,1
131248,2578051,11,1
82442,2578287,11,1
82442,2578255,11,3
131248,2578155,11,1
67063,2578144,11,1
67063,2578164,11,1
67063,2578185,11,1
67063,2578256,11,1
40433,2618559,11,1
40433,2618620,11,2
40433,2577971,11,3
40433,2577974,11,2
40433,2577990,11,1
40433,2578174,11,1
40433,2578197,11,1
40433,2578216,11,1
40433,2578279,11,1
40433,2578182,11,2
40433,2578287,11,1
103427,2618567,985,1
12282,2577958,985,1
54906,2578176,985,1
14086,2578259,985,1
56818,2577984,985,1
99343,2577958,985,1
99343,2577984,985,1
2514,2578031,985,1
99343,2578164,985,1
39679,2578057,985,1
258923,2578164,985,2
258923,2578202,985,1
258923,2578232,985,1
258923,2578259,985,1
141660,2578033,985,1
141660,2578092,985,1
141660,2578126,985,1
141660,2578130,985,1
44068,2618567,985,1
44068,2577944,985,1
44068,2577966,985,1
44068,2577977,985,1
44068,2578033,985,1
44068,2578162,985,1
44068,2578268,985,1
177847,2577885,985,1
50935,2618543,15,1
50935,2618579,15,2
50935,2618603,15,1
50935,2618634,15,1
3332,2618596,985,1
182877,2618588,985,1
182877,2618628,985,1
182877,2577958,985,1
182877,2577966,985,2
3332,2577977,985,1
3332,2577984,985,1
182877,2578078,985,1
3332,2578233,985,1
3332,2578092,985,2
182877,2578233,985,1
3332,2578097,985,1
182877,2578126,985,1
3332,2578126,985,1
182877,2578140,985,1
182877,2578204,985,1
3332,2578259,985,1
182877,2578283,985,1
182877,2578237,985,2
167850,2618538,985,1
167850,2577977,985,1
167850,2578038,985,1
47713,2578142,31,1
24180,2578037,31,1
3202,2578143,31,1
207917,2578217,31,1
85177,2578143,31,1
119296,2578143,31,1
43530,2578110,31,1
43530,2578134,31,1
43530,2578178,31,1
43530,2578273,31,1
61651,2578060,31,1
61651,2578110,31,1
3333,2577961,31,1
3333,2578055,31,1
3333,2578110,31,1
3333,2578143,31,1
3333,2578178,31,1
51452,2578104,31,1
51452,2578254,31,1
80444,2577864,31,1
80444,2578003,31,2
80444,2578021,31,1
80444,2578037,31,1
80444,2578196,31,1
80444,2578199,31,1
80444,2578142,31,1
195652,2578284,31,1
148368,2578060,31,1
148368,2578143,31,1
148368,2578217,31,2
148368,2578142,31,1
134294,2577963,31,1
134294,2577989,31,1
50201,2577886,31,1
50201,2577958,31,1
50201,2578000,31,1
50201,2578003,31,1
50201,2578077,31,1
50201,2578224,31,1
50201,2578173,31,1
50201,2578243,31,1
50201,2578181,31,1
131789,2578037,31,1
131789,2578104,31,2
131789,2578110,31,2
131789,2578134,31,1
131789,2578178,31,1
131789,2578173,31,1
131789,2578249,31,1
131789,2578254,31,1
47082,2577961,31,2
47082,2578143,31,1
47082,2578196,31,1
47082,2578217,31,1
47082,2578249,31,1
47082,2578142,31,1
47082,2578273,31,1
42710,2577969,148,1
42710,2578045,148,1
42710,2578174,148,1
42710,2578218,148,1
175722,2577890,148,1
175722,2577969,148,1
175722,2578074,148,1
95424,2578045,148,1
50174,2578153,148,1
95810,2578133,148,1
69633,2578001,148,2
69633,2578109,148,2
69633,2578147,148,1
69633,2578184,148,1
121279,2578087,148,1
19368,2577996,148,1
19368,2578011,148,1
19368,2578109,148,1
61834,2577951,148,1
207929,2577902,148,1
207929,2578011,148,1
207929,2578058,148,1
207929,2578082,148,1
207929,2578229,148,1
207929,2578114,148,1
207929,2578120,148,1
207929,2578218,148,1
207929,2578258,148,2
91845,2577972,148,1
91845,2578275,148,1
91845,2578262,148,1
91845,2578286,148,1
61842,2578135,762,1
61842,2578208,762,1
61842,2578244,762,1
61842,2578265,762,1
132098,2577969,148,1
132098,2577996,148,3
132098,2578011,148,1
132098,2578018,148,1
132098,2578045,148,2
132098,2578082,148,1
132098,2578087,148,2
132098,2578109,148,1
132098,2578114,148,1
132098,2578120,148,2
132098,2578147,148,1
132098,2578174,148,1
132098,2578187,148,2
132098,2578184,148,2
132098,2578199,148,1
132098,2578258,148,2
132098,2578262,148,1
111630,2577969,148,1
