player_id,team_id,game_id,yellow_card,second_yellow_card,red_card
157509,631,2618583,67',,
177476,1010,2578020,81',,
177476,1010,2578030,90 + 8',,
177476,1010,2578275,,,63'
177476,1010,2578172,58',,
177476,1010,2578246,82',,
3160,631,2577858,53',,
3160,631,2577894,,,55'
3160,631,2578106,90 + 9',,
3160,631,2578288,87',90 + 5',
27511,631,2618561,41',,
27511,631,2577948,71',,
27511,631,2578288,1',,
108390,631,2577858,,,52'
108390,631,2578084,70',,
108390,631,2578271,,,78'
36827,631,2618639,74',,
36827,631,2645816,90',,
36827,631,2577887,48',,
36827,631,2577960,49',,
36827,631,2577967,68',,
36827,631,2578190,16',,
36827,631,2578262,71',,
245893,631,2578212,40',,
57500,631,2618561,67',,
57500,631,2577950,88',,
57500,631,2578006,24',,
57500,631,2578044,90 + 5',,
57500,631,2578084,85',,
57500,631,2578212,36',,
57500,631,2578271,62',,
57500,631,2578181,87',,
224884,631,2578036,45 + 2',,
30739,631,2645808,38',,
30739,631,2645816,53',,
30739,631,2578006,90 + 5',,
30739,631,2578003,66',,
30739,631,2578236,27',,
30739,631,2578111,72',,
30739,631,2578271,72',,
30739,631,2578262,87',,
74683,631,2618561,79',,
74683,631,2618623,59',,
74683,631,2618639,31',,
74683,631,2577894,17',,
74683,631,2578006,35',44',
74683,631,2578044,59',,
74683,631,2578070,88',,
74683,631,2578111,60',,
8806,631,2618623,84',,
8806,631,2645816,45',,
8806,631,2578006,45',,
8806,631,2578160,73',,
8806,631,2578190,90 + 1',,
8806,631,2578195,29',,
8806,631,2578212,76',,
85314,631,2577960,64',,
85314,631,2578111,11',,
85314,631,2578160,44',,
85314,631,2578171,45',,
202886,631,2618548,1',,
91970,506,2645818,71',,
91970,506,2603999,90 + 1',,
91970,506,2604317,89',,
54170,22219,2577975,43',,
50202,631,2577887,81',,
50202,631,2578236,72',,
52769,631,2577991,74',,
52769,631,2578006,81',,
52769,631,2578025,35',,
52769,631,2578190,90 + 1',,
52769,631,2578262,45 + 1',,
65278,631,2645808,67',,
65278,631,2577967,90 + 7',,
65278,631,2578053,21',,
65278,631,2578212,71',,
44779,631,2618639,20',,
44779,631,2577950,90 + 2',,
44779,631,2577960,45',,
44779,631,2578006,45',,
44779,631,2578053,63',,
44779,631,2578080,88',,
44779,631,2578084,49',,
44779,631,2578131,45 + 2',,
44779,631,2578148,63',,
39152,631,2577975,57',,
54781,281,2618570,20',,
54781,281,2645821,18',,
54781,281,2682241,90 + 4',,
54781,281,2577982,42',,
54781,281,2578016,39',,
54781,281,2578067,51',,
54781,281,2578064,48',,
54781,281,2578119,80',,
54781,281,2578189,26',,
54781,281,2578271,45 + 1',,
54781,281,2578287,90 + 1',,
54781,281,2578282,45',,
9594,281,2577887,33',,
9594,281,2577940,40',,
9594,281,2577998,45',,
9594,281,2578147,46',,
9594,281,2578150,67',,
2963,281,2577969,45 + 2',,
2963,281,2578041,56',,
2963,281,2578115,32',,
7449,281,2675296,11',,
15956,281,2618616,70',,
15956,281,2675296,85',,
15956,281,2578178,68',,
26764,281,2618616,70',,
26764,281,2577982,26',,
26764,281,2578059,60',,
26764,281,2578119,90 + 5',,
26764,281,2578282,67',,
46156,281,2577965,54',,
46156,281,2578041,90 + 1',,
46156,281,2578230,66',,
20007,281,2577987,82',,
20007,281,2578141,69',,
20007,281,2578271,29',,
26267,281,2618616,35',,
26267,281,2675300,72',,
26267,281,2682241,71',,
26267,281,2577866,52',,
26267,281,2577887,45 + 1',,
26267,281,2577896,45',,
26267,281,2577987,45 + 1',,
26267,281,2577998,15',,
26267,281,2578119,90 + 4',,
26267,281,2578285,20',,
26267,281,2578287,90 + 2',,
51174,281,2675296,35',,
51174,281,2578014,90 + 3',,
51174,281,2578115,90 + 4',,
51174,281,2578141,72',,
51174,281,2578213,89',,
88755,281,2682241,30',,
88755,281,2578014,34',,
88755,281,2578230,90',,
13091,281,2577887,51',,
13091,281,2577952,26',,
13091,281,2578115,89',,
18935,281,2577896,87',,
18935,281,2577952,69',,
18935,281,2578271,47',,
35518,281,2682239,37',,
35518,281,2578064,31',,
134425,281,2578075,4',,
26399,281,2578119,90 + 1',,
81808,281,2618593,✔,,
81808,281,2578059,58',,
295330,281,2578282,41',,
76277,11,2578051,44',,
76277,11,2578111,45',,
76277,11,2578144,44',,
76277,11,2578242,90 + 2',,
215118,9249,2577960,72',,
215118,9249,2578225,61',,
6710,11,2577990,58',,
6710,11,2578111,,,18'
43003,11,2618620,65',,
43003,11,2645809,6',,
43003,11,2577862,69',,
149498,11,2618559,45',,
149498,11,2645817,35',,
149498,11,2577893,65',,
149498,11,2577960,45',,45 + 1'
149498,11,2578116,89',,
149498,11,2578287,71',,
27306,40,2609802,54',,
191217,11,2578040,31',,
74869,11,2577889,41',,
74869,11,2577974,51',,
74869,11,2578002,25',,
191217,11,2578174,26',,
191217,11,2578242,49',,
74869,11,2578116,87',,
74869,11,2578144,36',,
74869,11,2578174,29',55',
17396,11,2645817,32',,
17396,11,2578266,82',,
17396,11,2578124,9',,
126321,379,2577891,40',,
126321,379,2577898,,,79'
126321,379,2577978,72',,
126321,379,2578071,87',,
160438,11,2578164,73',,
160438,11,2578197,84',,
160438,11,2578242,76',,
50057,11,2618637,18',,
50057,11,2578225,30',,
50057,11,2578144,45 + 2',,
50057,11,2578164,71',,
50057,11,2578242,40',,
7451,11,2577971,69',,
15799,11,2577946,49',,
15799,11,2577960,31',79',
15799,11,2578039,54',,
35664,11,2618559,78',,
35664,11,2618604,12',,
35664,11,2577945,38',,
35664,11,2578266,90 + 2',,
35664,11,2578164,90 + 2',,
35664,11,2578256,85',,
82442,11,2618545,23',40',
82442,11,2618580,84',,
82442,11,2618637,63',,
82442,11,2645817,85',,
82442,11,2578002,69',,
82442,11,2578040,42',,
131248,11,2618545,87',,
131248,11,2618604,24',,
67063,11,2578144,90 + 6',,
40433,11,2618559,44',,
40433,11,2645817,50',,
40433,11,2578174,66',,
93176,985,2577984,52',,
93176,985,2578010,90 + 2',,
93176,985,2578033,61',,
103427,985,2618538,67',,
103427,985,2578010,47',,
103427,985,2578236,39',,
103427,985,2578233,42',,
103427,985,2578092,66',,
103427,985,2578097,65',,
103427,985,2578130,83',,
103427,985,2578202,10',,
103427,985,2578204,61',,
12282,985,2578233,85',,
12282,985,2578130,63',,
54906,985,2618628,17',,
54906,985,2577885,84',,
54906,985,2577899,18',,
54906,985,2577958,73',,
54906,985,2577974,30',,
54906,985,2578010,53',,
54906,985,2578126,55',,
54906,985,2578218,73',,
54906,985,2578176,62',,
183288,985,2577899,70',,
14086,985,2618567,79',,
14086,985,2577974,22',,
14086,985,2578038,74',,
14086,985,2578031,14',,
14086,985,2578086,25',,
14086,985,2578218,84',,
33544,985,2578237,70',,
188862,985,2618628,90 + 2',,
188862,985,2578164,9',,
56818,985,2618567,40',,
56818,985,2577944,38',,
56818,985,2577998,89',,
56818,985,2578236,30',,
3878,985,2578047,85',,
3878,985,2578140,59',,
3878,985,2578164,22',,
3878,985,2578283,57',,
315131,985,2578162,23',,
99343,985,2618588,80',,
2514,985,2618567,42',,
99343,985,2577885,74',,
2514,985,2577860,69',,
2514,985,2577984,50',,
99343,985,2578092,30',,
99343,985,2578164,71',,
2514,985,2578236,81',,
99343,985,2578237,75',,
39679,985,2618588,90',,
39679,985,2578092,25',,
39679,985,2578097,75',,
141660,985,2618613,90',,
141660,985,2578038,75',,
141660,985,2578130,79',,
141660,985,2578204,90 + 2',,
141660,985,2578283,53',,
44068,985,2577860,90',,
44068,985,2577998,39',,
44068,985,2578140,58',,
44068,985,2578175,24',26',
44068,985,2578259,66',,
203394,985,2578057,41',,
203394,985,2578086,83',,
177847,985,2578164,90 + 3',,
182877,985,2618588,14',,
3332,985,2577974,55',,
3332,985,2578236,90 + 1',,
182877,985,2578126,60',,
3332,985,2578140,46',,
3332,985,2578283,66',,
182877,985,2578237,58',,
50219,31,2577893,85',,
50219,31,2578055,90 + 3',,
167850,985,2618567,62',,
167850,985,2577944,41',,
167850,985,2578218,83',,
37838,31,2577864,50',,
37838,31,2578196,25',,
47713,31,2577989,90 + 1',,
24180,31,2577864,28',,
24180,31,2577893,61',,
24180,31,2578055,65',,
24180,31,2578196,49',,
24180,31,2578243,77',,
256178,31,2577864,63',,
256178,31,2577886,75',,
256178,31,2577893,79',,
3202,31,2578181,48',,
207917,31,2578224,77',,
207917,31,2578134,81',,
207917,31,2578173,86',,
85177,31,2577947,90 + 1',,
85177,31,2577958,48',,
85177,31,2578021,76',,
85177,31,2578037,85',,
85177,31,2578104,53',,
85177,31,2578243,39',,
175745,31,2578243,27',76',
175745,31,2578284,40',,
145922,31,2578254,63',,
119296,31,2577893,66',,
119296,31,2577989,35',,
119296,31,2578003,64',,
119296,31,2578037,47',,
119296,31,2578077,53',,
119296,31,2578224,58',,
119296,31,2578196,48',,
119296,31,2578199,64',,
119296,31,2578181,44',,
128912,1123,2578241,40',,
41414,31,2577947,70',,
41414,31,2577989,69',,
41414,31,2577993,90 + 1',,
41414,31,2578003,58',,
41414,31,2578037,38',,
41414,31,2578056,44',,
41414,31,2578277,24',,
41414,31,2578123,86',,
43530,31,2578077,45 + 1',,
43530,31,2578110,90 + 5',,
61651,31,2578173,10',,
200782,31,2578143,84',,
3333,31,2577864,39',,
3333,31,2577958,75',,
3333,31,2577963,3',,
3333,31,2577993,36',,
3333,31,2578000,85',,
3333,31,2578055,25',,
3333,31,2578173,40',62',
3333,31,2578142,8',,
3333,31,2578273,53',,
3333,31,2578181,73',,
80444,31,2577947,45 + 4',52',
80444,31,2578003,24',,
80444,31,2578199,24',,
134294,31,2577947,86',,
50201,31,2578003,86',,
50201,31,2578224,19',,
131789,31,2578104,10',,
42710,148,2578275,81',,
42710,148,2578120,58',,
42710,148,2578165,30',,
43250,148,2577860,27',,
43250,148,2577951,16',,
43250,148,2578001,83',,
43250,148,2578044,53',,
43250,148,2578262,38',,
175722,148,2577860,76',,
175722,148,2577902,60',,
175722,148,2577949,61',,
175722,148,2577969,59',,
175722,148,2578001,79',,
175722,148,2578087,74',,
175722,148,2578102,79',,
175722,148,2578147,45 + 1',,
175722,148,2578174,73',,
175722,148,2578262,87',,
122675,148,2578147,56',,
122675,148,2578165,41',,
45314,368,2594692,3',25',
95424,148,2577890,24',,
95424,148,2578001,89',,
95424,148,2578045,75',,
95424,148,2578044,45 + 1',,
95424,148,2578153,90 + 4',,
95424,148,2578218,83',,
95424,148,2578262,27',,
50174,148,2577996,31',,
50174,148,2578044,32',,
50174,148,2578074,73',,
50174,148,2578120,88',,
50174,148,2578153,56',,
50174,148,2578218,72',,
50174,148,2578262,45 + 1',,
95810,148,2578114,79',,
255916,289,2578051,80',,
255916,289,2578140,38',,
192765,148,2577890,48',,
192765,148,2578001,53',,
192765,148,2578165,65',,
69633,148,2577969,65',,
69633,148,2578262,70',,
121279,148,2578074,68',,
121279,148,2578229,72',,
121279,148,2578147,76',,
245537,9254,2577949,59',,
19368,148,2577902,29',,
19368,148,2578058,81',,
19368,148,2578262,90 + 5',,
61834,148,2577902,83',,
61834,148,2578262,90 + 6',,
61834,148,2578274,45 + 1',,
207929,148,2577860,90 + 1',,
207929,148,2577949,56',,
207929,148,2577969,88',,
207929,148,2578045,67',,
207929,148,2578082,72',,
207929,148,2578275,6',,
207929,148,2578218,90 + 2',,
132098,148,2577969,90 + 4',,
132098,148,2578044,40',,
132098,148,2578058,75',,
132098,148,2578114,90 + 3',,
132098,148,2578262,90 + 5',,
111630,148,2577902,31',,
111630,148,2577972,76',,
111630,148,2577969,56',,
111630,148,2577993,59',,
111630,148,2578018,55',,
111630,148,2578229,68',,
111630,148,2578174,28',,
111630,148,2578262,51',,
111630,148,2578274,62',,
101118,29,2578169,75',,
59631,148,2577949,90 + 1',,
4267,1247,2578068,64',,
186590,29,2577950,86',,
186590,29,2578009,53',,
186590,29,2578227,90',,
156934,29,2577973,74',,
11111,29,2578023,59',,
11111,29,2578048,88',,
11111,29,2578068,61',,
11111,29,2578106,90 + 2',,
11111,29,2578142,,,50'
220755,29,2578260,44',,
208244,9261,2577950,65',,
208244,9261,2578009,90 + 1',,
93905,29,2578094,50',,
68390,29,2577865,54',,
68390,29,2577984,22',,
68390,29,2578229,35',,
68390,29,2578125,74',,
131978,29,2577884,45 + 4',,
131978,29,2577989,35',,
131978,29,2578090,63',,
131978,29,2578169,90 + 3',,
3291,29,2577949,37',,
3291,29,2577973,56',,
3291,29,2578002,66',90 + 4',
3291,29,2578090,36',,
3291,29,2578146,64',,
3291,29,2578263,90 + 1',,
73484,29,2578260,49',,
45333,29,2577884,75',,
45333,29,2577986,70',,
