player_id,game_id,team_id,own_goals
3160,2578106,631,1
46156,2578239,281,1
51174,2682241,281,1
73396,2618559,11,1
215118,2577960,9249,1
126321,2578276,379,1
7451,2578040,11,1
82442,2578051,11,1
59377,2578140,985,1
103427,2578259,985,1
24180,2578056,31,1
43250,2578114,148,1
95424,2577860,148,1
132098,2578001,148,1
17273,2578179,4291,1
85475,2577858,2288,1
85475,2578085,2288,1
184398,2578251,2288,1
40613,2578108,2288,1
49319,2578255,405,1
9619,2577991,405,1
9619,2578030,405,1
67252,2578099,1123,1
121477,2578253,984,1
40567,2578084,984,1
102427,2578009,336,1
134425,2754911,281,1
122675,2698164,148,1
5658,2698095,11,1
242631,2755719,11,1
4311,2698105,29,1
2998,2698137,1003,1
2998,2698415,1003,1
13465,2698424,3008,1
167268,2697993,289,1
277114,2698272,289,1
40567,2698258,984,1
95424,2872190,281,1
26267,3062384,281,1
57500,2872187,631,1
179184,2872133,16,1
3333,3030595,31,1
16911,2872313,1003,1
6636,2872493,1003,1
20007,2872474,379,1
92572,2872118,873,1
78959,2872407,873,1
81512,2872330,1010,1
42412,2872250,984,1
85475,2872202,2288,1
66219,2872452,2288,1
90836,2872377,989,1
82105,3135813,31,1
42710,3050492,148,1
95810,3050442,148,1
191217,3050247,11,1
272622,3050187,379,1
90836,3050318,989,1
419930,3050563,989,1
262980,3050287,989,1
253765,3050224,940,1
253765,3050273,940,1
181579,3050354,180,1
128901,3050374,543,1
128901,3050386,543,1
128901,3050487,543,1
171679,3050183,543,1
78959,3050553,873,1
315131,3050272,931,1
59641,3050368,931,1
255916,3050193,762,1
59606,3050227,1010,1
59606,3050371,1010,1
127187,3050205,1010,1
74810,3050289,1132,1
74810,3050555,1132,1
15773,3050449,1132,1
63200,3050495,1132,1
26267,3219261,281,1
143424,3219180,31,1
42710,3219219,148,1
127032,3219271,148,1
192279,3252208,631,1
86202,3219186,631,1
157509,3219423,631,1
331726,3252208,631,1
331726,3219416,631,1
184573,3219308,985,1
289446,3219417,29,1
126664,3219387,29,1
118534,3219190,29,1
42412,3219106,1003,1
413220,3219156,1003,1
168157,3219413,543,1
85475,3219131,762,1
170321,3219067,762,1
34130,3219344,405,1
212847,3219387,1237,1
82873,3219238,1237,1
60744,3219403,1010,1
38145,3219223,1010,1
64399,3219235,873,1
108725,3219085,1132,1
33027,3219313,1123,1
343475,3219177,1123,1
121385,3194817,1123,1
258004,3421802,281,1
86202,3429720,631,1
392771,3429768,350,1
342046,3421817,985,1
183288,3421719,985,1
72476,3429813,11,1
253341,3421807,11,1
433177,3421743,11,1
58864,3421783,11,1
343475,3429756,29,1
16911,3429867,1003,1
272622,3429810,379,1
121477,3429769,379,1
121477,3429782,379,1
283628,3429782,379,1
243028,3429707,180,1
85475,3421759,762,1
98240,3429770,762,1
92469,3421809,762,1
258878,3429815,931,1
542586,3429742,399,1
173900,3421746,399,1
214928,3429750,350,1
13520,3429787,350,1
113036,3421832,984,1
43763,3420843,1132,1
105470,3591960,31,1
157509,3592254,379,1
472423,3592151,631,1
175722,3592017,148,1
197838,3591987,1003,1
126664,3591961,405,1
250478,3592008,762,1
14086,3592272,405,1
118534,3592117,29,1
118534,3592148,29,1
348623,3592273,29,1
157672,3592270,379,1
183318,3592036,762,1
183318,3592273,762,1
459463,3592279,813,1
173504,3592269,1132,1
74810,3592298,1132,1
5404,2594762,131,1
32467,2594794,131,1
88590,2594775,1049,1
45184,2594774,368,1
45184,2594805,368,1
71559,2594819,621,1
176553,2594590,621,1
62920,2594753,1050,1
131090,2594736,681,1
137174,2594747,897,1
164055,2594613,1533,1
55240,2594675,1533,1
1726,2594635,150,1
62945,2594729,2448,1
59349,2594735,3368,1
59349,2594766,3368,1
7568,2594693,3368,1
125931,2594703,3368,1
246291,2594562,367,1
126540,2719024,131,1
5404,2718777,131,1
158863,2718845,681,1
59344,2718761,681,1
63463,2718778,940,1
63463,2718877,940,1
33210,2718816,897,1
77026,2718997,897,1
64411,2719054,897,1
34370,2718958,714,1
131090,2718789,714,1
54928,3081107,13,1
148928,3079500,13,1
63463,3079475,1049,1
372246,3080891,1049,1
246291,3079532,681,1
351478,3080841,681,1
30677,3079453,940,1
65318,3080770,1050,1
129444,3079305,714,1
34370,3079491,714,1
175323,3079502,714,1
226012,3079387,3709,1
221150,3081113,3709,1
102423,3079533,3709,1
27493,3080762,1244,1
433049,3081085,1244,1
67080,3080886,1108,1
76273,3081101,1108,1
387129,3080838,3368,1
107010,3209980,13,1
230784,3252217,13,1
44779,3210094,13,1
127189,3210076,1049,1
197135,3208671,681,1
238868,3208628,1050,1
399776,3210111,1050,1
226012,3208826,3709,1
188838,3210078,3368,1
495601,3208743,714,1
501418,3210057,714,1
442816,3208848,237,1
442805,3208672,237,1
207834,3451028,368,1
329145,3451089,368,1
229804,3451437,681,1
399776,3431926,1050,1
236956,3451405,3709,1
356197,3451183,1050,1
192009,3431934,621,1
71559,3451033,3709,1
158795,3451396,3709,1
170472,3451160,16795,1
257851,3451429,3368,1
158791,3451429,3368,1
248738,3431938,331,1
197122,3451098,331,1
298589,3451402,331,1
239962,3451397,5358,1
189452,3451446,5358,1
216240,3431935,366,1
51663,3451023,2687,1
349836,3451430,1531,1
80293,3605058,1050,1
349599,3796967,1050,1
495629,3610408,1049,1
113133,3607531,150,1
191217,3607543,150,1
262396,3610342,621,1
358250,3610403,940,1
64134,3611516,940,1
82503,3605200,331,1
213670,3611492,331,1
367464,3607562,16795,1
29051,3605041,237,1
378463,3610299,237,1
278296,3611462,237,1
557149,3611458,237,1
495625,3605308,2687,1
93704,2618628,82,1
29993,2840936,16,1
42205,2977712,18,1
59238,3461721,16,1
357119,3461823,23826,1
35207,3651082,16,1
348026,3651037,23826,1
29260,2618541,506,1
39983,2604136,506,1
104752,2604021,12,1
44059,2604241,12,1
44162,2604211,12,1
131102,2604168,46,1
176140,2604040,5,1
30782,2604121,398,1
19694,2604064,398,1
5017,2604024,1038,1
56790,2604332,1038,1
85240,2604008,252,1
56830,2604198,252,1
62415,2604073,252,1
35865,2604302,6574,1
73786,2604293,410,1
27807,2604034,416,1
148751,2604205,416,1
140748,2604166,416,1
72441,2604168,800,1
22217,2604001,458,1
16868,2604096,862,1
38591,2604104,862,1
5986,2604178,276,1
2904,2604067,8590,1
159288,2604152,8970,1
79960,2726607,506,1
56416,2805646,6195,1
28021,2726546,46,1
30767,2726770,5,1
74943,2726565,5,1
253765,2726838,398,1
225335,2726568,398,1
118689,2726805,800,1
35865,2726769,6574,1
32113,2726560,252,1
32113,2726655,252,1
75127,2726797,252,1
110309,2726716,1444,1
32816,2726812,410,1
86793,2726852,410,1
