player_id,game_id,team_id,assists
3160,2578080,631,1
36827,2578084,631,1
36827,2578111,631,1
57500,2578003,631,1
57500,2578135,631,1
57500,2578195,631,1
57500,2578288,631,1
224884,2618623,631,1
224884,2578181,631,1
30739,2577950,631,1
74683,2578171,631,1
74683,2578234,631,1
74683,2578264,631,1
8806,2618548,631,1
8806,2577960,631,1
8806,2578025,631,1
8806,2578106,631,1
8806,2578135,631,1
8806,2578234,631,3
85314,2618623,631,1
85314,2578223,631,1
85314,2578106,631,1
85314,2578195,631,1
202886,2578190,631,1
91970,2604018,506,1
91970,2604080,506,1
91970,2604084,506,1
91970,2604262,506,1
59866,2577978,379,1
59866,2577992,379,1
50202,2618639,631,1
50202,2577894,631,1
50202,2577960,631,1
50202,2577967,631,1
50202,2578160,631,1
52769,2645816,631,1
52769,2577858,631,1
52769,2577991,631,1
52769,2578070,631,2
52769,2578080,631,1
52769,2578084,631,1
52769,2578135,631,1
52769,2578148,631,1
52769,2578262,631,1
65278,2577894,631,1
65278,2577948,631,1
65278,2578065,631,1
131996,2578160,631,1
44779,2618548,631,1
44779,2618639,631,1
44779,2645808,631,1
44779,2577894,631,1
44779,2577991,631,1
44779,2578223,631,1
44779,2578106,631,1
44779,2578135,631,1
44779,2578148,631,1
44779,2578262,631,1
45121,2618548,631,1
7449,2578147,281,1
15956,2618600,281,1
15956,2577987,281,1
15956,2577982,281,1
15956,2578059,281,1
15956,2578167,281,1
15956,2578213,281,1
15956,2578231,281,1
15956,2578285,281,1
26764,2577940,281,1
26764,2578064,281,1
26764,2578239,281,1
46156,2578037,281,1
46156,2578239,281,1
46156,2578210,281,1
46156,2578150,281,1
20007,2578231,281,1
26267,2618600,281,1
26267,2645813,281,1
26267,2675296,281,1
26267,2577987,281,1
26267,2578271,281,1
26267,2578287,281,1
51174,2618570,281,1
51174,2675300,281,1
88755,2577987,281,2
88755,2577982,281,1
88755,2578014,281,1
88755,2578041,281,2
88755,2578075,281,2
88755,2578117,281,1
13091,2618593,281,1
13091,2645813,281,1
13091,2577866,281,1
13091,2577887,281,1
13091,2577896,281,1
13091,2577969,281,1
13091,2578059,281,1
18935,2577952,281,1
18935,2578213,281,1
18935,2578271,281,1
35518,2618541,281,1
35518,2577866,281,1
35518,2577887,281,2
35518,2577940,281,1
35518,2577987,281,2
35518,2578075,281,1
35518,2578117,281,1
35518,2578167,281,2
35518,2578213,281,1
229695,2578141,9265,1
134425,2618632,281,1
134425,2645813,281,1
134425,2577896,281,1
134425,2578041,281,1
26399,2577965,281,1
26399,2578117,281,1
81808,2618600,281,1
81808,2618632,281,2
81808,2577866,281,1
81808,2577982,281,1
81808,2578231,281,1
295330,2578117,281,1
295330,2578231,281,1
43003,2618620,11,1
43003,2577971,11,2
43003,2578255,11,1
191217,2618580,11,1
191217,2577990,11,1
191217,2578174,11,2
191217,2578185,11,1
191217,2578255,11,1
160438,2578287,11,1
50057,2618637,11,1
50057,2578051,11,1
50057,2578104,11,1
50057,2578124,11,1
50057,2578182,11,1
7451,2578255,11,1
15799,2618580,11,1
15799,2577945,11,1
15799,2577971,11,1
15799,2578002,11,1
143424,2577946,11,1
35664,2577889,11,1
35664,2577945,11,1
35664,2577971,11,1
35664,2577974,11,1
35664,2577990,11,2
35664,2578002,11,1
35664,2578013,11,2
35664,2578018,11,1
35664,2578040,11,1
35664,2578051,11,1
35664,2578062,11,1
35664,2578064,11,2
35664,2578225,11,1
35664,2578144,11,1
35664,2578164,11,1
35664,2578255,11,1
242631,2578216,11,2
33713,2618559,11,1
33713,2577974,11,2
33713,2578062,11,1
82442,2578225,11,1
82442,2578266,11,1
131248,2618620,11,1
131248,2618637,11,1
82442,2578124,11,1
82442,2578144,11,1
82442,2578256,11,1
82442,2578287,11,1
131248,2578104,11,2
131248,2578197,11,1
67063,2578216,11,1
67063,2578279,11,1
40433,2618545,11,1
40433,2618559,11,1
40433,2618604,11,1
40433,2618620,11,1
40433,2645817,11,1
40433,2577889,11,1
40433,2578039,11,1
40433,2578155,11,1
40433,2578185,11,1
40433,2578197,11,1
93176,2577984,985,1
12282,2578031,985,1
258879,2578126,985,1
183288,2577944,985,1
14086,2577958,985,1
14086,2577977,985,1
14086,2578233,985,1
33544,2618588,985,1
33544,2578232,985,1
33544,2578283,985,1
33544,2578259,985,1
315131,2578204,985,1
99343,2577984,985,1
99343,2578038,985,1
2514,2578038,985,1
39679,2618628,985,1
258923,2578164,985,1
258923,2578237,985,1
141660,2618596,985,1
141660,2578164,985,1
44068,2618567,985,1
44068,2618628,985,1
44068,2577885,985,1
44068,2577958,985,1
44068,2577966,985,1
44068,2577977,985,1
44068,2578202,985,1
44068,2578237,985,1
44068,2578259,985,1
3332,2577860,985,1
182877,2577977,985,1
182877,2578033,985,1
3332,2578092,985,1
3332,2578126,985,1
3332,2578130,985,1
3332,2578268,985,1
3332,2578259,985,1
182877,2586771,985,1
167850,2577966,985,1
256178,2577864,31,1
207917,2577963,31,1
207917,2578217,31,1
207917,2578273,31,2
145922,2578284,31,1
41414,2578142,31,1
43530,2578021,31,1
43530,2578060,31,1
43530,2578224,31,1
43530,2578110,31,1
43530,2578178,31,1
43530,2578196,31,1
61651,2577886,31,1
61651,2578060,31,1
61651,2578143,31,1
3333,2577961,31,1
3333,2577989,31,1
3333,2578000,31,1
3333,2578104,31,1
3333,2578110,31,1
3333,2578134,31,1
3333,2578178,31,1
3333,2578217,31,2
