agent_id,agent_name,player_id,season
1061,World in Motion,240457,2015
190,CAA Stellar,130164,2015
1,ROGON,49734,2015
4611,Panthera Sports,52119,2015
440,Wasserman,108878,2015
176,Nordic Sky,31720,2015
2394,Neverland Management,36500,2015
586,SEG,38497,2015
4142,Unique Sports Group,307781,2015
4142,Unique Sports Group,29152,2015
440,Wasserman,3875,2015
4142,Unique Sports Group,111073,2015
440,Wasserman,15220,2015
440,Wasserman,218144,2015
4142,Unique Sports Group,90836,2015
440,Wasserman,253677,2015
440,Wasserman,293450,2015
190,CAA Stellar,3356,2015
190,CAA Stellar,61841,2015
4142,Unique Sports Group,29975,2015
4142,Unique Sports Group,104586,2015
440,Wasserman,146795,2015
2295,ROOF,87672,2015
440,Wasserman,110858,2015
440,Wasserman,416622,2015
4142,Unique Sports Group,123682,2015
440,Wasserman,398402,2015
1,ROGON,91059,2015
4016,KIN Partners,53622,2016
440,Wasserman,50362,2016
3756,DOUBLE DIAMOND ...,18935,2016
6003,Eleven Talent Group,26399,2016
4142,Unique Sports Group,183301,2016
4837,Goal Management,286415,2016
13,LIAN Sports Group,192565,2016
4126,A-GROUP,43250,2016
440,Wasserman,122675,2016
190,CAA Stellar,192765,2016
440,Wasserman,258912,2016
190,CAA Stellar,249126,2016
4126,A-GROUP,19368,2016
440,Wasserman,61834,2016
190,CAA Stellar,387313,2016
1881,Sport Cover,215679,2016
5078,ARETÉ,314367,2016
4126,A-GROUP,207015,2016
2722,Universal Twenty Two,111873,2016
190,CAA Stellar,44058,2016
190,CAA Stellar,88590,2016
2295,ROOF,6710,2016
190,CAA Stellar,253341,2016
4837,Goal Management,191217,2016
440,Wasserman,74223,2016
2377,Signature - ISCM AG,111455,2016
10778,Tier One,285845,2016
8286,Concept Sport Agency,326300,2016
440,Wasserman,33713,2016
1553,Fernando Felicevich,40433,2016
4142,Unique Sports Group,110864,2016
190,CAA Stellar,30690,2016
190,CAA Stellar,93176,2016
4434,OmniSports,103427,2016
190,CAA Stellar,258919,2016
4434,OmniSports,289791,2016
440,Wasserman,117996,2016
586,SEG,12282,2016
190,CAA Stellar,183288,2016
5588,JP PACHON SPORTS,33544,2016
440,Wasserman,4311,2016
190,CAA Stellar,13520,2016
440,Wasserman,220755,2016
440,Wasserman,110860,2016
2773,11WINS,258883,2016
440,Wasserman,131978,2016
11120,Teranga Sports,126665,2016
440,Wasserman,268185,2016
2295,ROOF,406040,2016
11025,TEAM LUKAKU,96341,2016
440,Wasserman,21333,2016
3223,Soccer Mondial AG,184381,2016
2773,11WINS,306024,2016
440,Wasserman,8552,2016
440,Wasserman,121260,2016
4142,Unique Sports Group,51321,2016
3223,Soccer Mondial AG,111428,2016
1292,Solbakken / Player ...,42234,2016
190,CAA Stellar,264220,2016
190,CAA Stellar,12691,2016
4142,Unique Sports Group,92571,2016
4142,Unique Sports Group,242652,2016
1881,Sport Cover,181380,2016
206,P&P Sport ...,101213,2016
190,CAA Stellar,242606,2016
6670,Hernan Berman,135853,2016
440,Wasserman,45403,2016
4173,SMI Sports ...,22614,2016
4142,Unique Sports Group,104124,2016
190,CAA Stellar,48066,2016
190,CAA Stellar,52570,2016
2295,ROOF,139208,2016
190,CAA Stellar,163744,2016
190,CAA Stellar,181579,2016
3223,Soccer Mondial AG,36139,2016
5078,ARETÉ,129078,2016
1881,Sport Cover,232271,2016
4142,Unique Sports Group,226973,2016
4142,Unique Sports Group,226965,2016
1973,BSP FOOTBALL AGENCY,112343,2016
2295,ROOF,37304,2016
190,CAA Stellar,45494,2016
440,Wasserman,183284,2016
4611,Panthera Sports,52119,2016
4434,OmniSports,78959,2016
4142,Unique Sports Group,477758,2016
440,Wasserman,47995,2016
4142,Unique Sports Group,244125,2016
4142,Unique Sports Group,157506,2016
4142,Unique Sports Group,244130,2016
1881,Sport Cover,46791,2016
4142,Unique Sports Group,61842,2016
190,CAA Stellar,95435,2016
206,P&P Sport ...,16911,2016
199,Sports360 GmbH,21327,2016
4695,Playeleven,50477,2016
1406,YOU FIRST,6636,2016
440,Wasserman,73522,2016
190,CAA Stellar,316125,2016
440,Wasserman,56872,2016
206,P&P Sport ...,292417,2016
641,YMU Group,229970,2016
4611,Panthera Sports,13465,2016
4142,Unique Sports Group,122223,2016
4173,SMI Sports ...,509268,2016
190,CAA Stellar,130164,2016
1061,World in Motion,240457,2016
1,ROGON,49734,2016
440,Wasserman,4241,2016
8195,Quadrans,277114,2016
4173,SMI Sports ...,163531,2016
