url,error,status,user
https://www.transfermarkt.com/stephen-hendrie/leistungsdatendetails/spieler/186269/plus/1?saison=2015&verein=&liga=&wettbewerb=&pos=&trainer_id=,e,403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
https://www.transfermarkt.com/lewis-page/leistungsdatendetails/spieler/242652/plus/1?saison=2015&verein=&liga=&wettbewerb=&pos=&trainer_id=,e,403,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0
https://www.transfermarkt.com/reece-burke/leistungsdatendetails/spieler/264220/plus/1?saison=2015&verein=&liga=&wettbewerb=&pos=&trainer_id=,e,403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
https://www.transfermarkt.com/carl-jenkinson/leistungsdatendetails/spieler/126321/plus/1?saison=2015&verein=&liga=&wettbewerb=&pos=&trainer_id=,e,403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
https://www.transfermarkt.com/nathan-mavila/leistungsdatendetails/spieler/242646/plus/1?saison=2015&verein=&liga=&wettbewerb=&pos=&trainer_id=,e,403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362"
https://www.transfermarkt.com/joey-obrien/leistungsdatendetails/spieler/34672/plus/1?saison=2015&verein=&liga=&wettbewerb=&pos=&trainer_id=,e,403,"Mozilla/5.0 (Linux; Android 8.1.0; A570BL Build/OPM1.171019.026; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/79.0.3945.93 Mobile Safari/537.36"
https://www.transfermarkt.com/sam-westley/leistungsdatendetails/spieler/258311/plus/1?saison=2015&verein=&liga=&wettbewerb=&pos=&trainer_id=,e,403,"Mozilla/5.0 (Linux; Android 10; Galileo Pro Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/79.0.3945.93 Mobile Safari/537.36"
https://www.transfermarkt.com/kyle-knoyle/leistungsdatendetails/spieler/291171/plus/1?saison=2015&verein=&liga=&wettbewerb=&pos=&trainer_id=,e,403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
https://www.transfermarkt.com/alex-pike/leistungsdatendetails/spieler/345960/plus/1?saison=2015&verein=&liga=&wettbewerb=&pos=&trainer_id=,e,403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"
https://www.transfermarkt.com/cheikhou-kouyate/leistungsdatendetails/spieler/66934/plus/1?saison=2015&verein=&liga=&wettbewerb=&pos=&trainer_id=,e,403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
